Brewery,Beer,Style,ABV,IBU
14er Brewing, Chocolate Peanut Butter Cookie ,Blonde Ale,10% ABV,
14er Brewing, Mt Massive IPA ,IPA - American,6.5% ABV,
14er Brewing, Double Mt Massive IPA ,IPA - Imperial / Double,8.3% ABV,
14er Brewing, Moon Phase IPA ,IPA - American,7% ABV,
14er Brewing, STRATAgetically Single IPA ,IPA - American,6% ABV,
14er Brewing, Margarita IPA ,IPA - American,8% ABV,
14er Brewing, West Coast IPA ,IPA - American,7.5% ABV,
14er Brewing, Dry Hopped Oak Aged Pale Ale With Brett ,Other,7% ABV,
14er Brewing, Brut Brettathon ,Brett Beer,7.5% ABV,
14er Brewing, Calamansi Crusher ,IPA - Sour,6% ABV,
14er Brewing, Lithuanian Kettle Sour ,Sour - Other,4.5% ABV,
14er Brewing, Not Your Mother's Wine ,Other,6.9% ABV,
14er Brewing, Mixed Culture Solera #2 ,Sour - Other,7.5% ABV,
14er Brewing, Not Your Grandmother's Wine ,American Wild Ale,8% ABV,
14er Brewing, Russian Imperial Stout ,Stout - Russian Imperial,9.9% ABV,
14er Brewing, Whisky Barrel Aged Russian Imperial Stout 2019 ,Stout - Russian Imperial,11% ABV,
14er Brewing, Double Cask Russian Imperial Stout ,Stout - Russian Imperial,12% ABV,
14er Brewing, Coffee Cask Finished Russian Imperial Stout ,Stout - Russian Imperial,12% ABV,
Odell Brewing Co,90 Shilling Ale,Amber Ale,5.3 ABV,
Odell Brewing Co,IPA,IPA,7.0 ABV,
Odell Brewing Co,Sippin’ Pretty,Fruited Sour,4.5 ABV,
Odell Brewing Co,Witkist White,Grapefruit White Ale,5.0 ABV,
Odell Brewing Co,Mountain Standard,Mountain Style IPA,6.5 ABV,
Odell Brewing Co,Good Behavior,Crushable IPA,4.0 ABV,
Odell Brewing Co,Myrcenary,Double IPA,9.3 ABV,
Odell Brewing Co,Drumroll,Hazy Pale Ale,5.3 ABV,
Odell Brewing Co,Rupture,Fresh Grind IPA,6.0 ABV,
Odell Brewing Co,Colorado Lager,Lager,5.0 ABV,
Odell Brewing Co,Easy Street,Wheat Ale,4.6 ABV,
Odell Brewing Co,2020 Wolf Picker,Experimental IPA,5.5 ABV,
